Title,Author,Genre,Notes,URL
What Doesn't Kill You Makes You Blacker,Damon Young,Race,"Cross list on ""Pittsburgh""",https://www.damonjyoung.com/book
Reclaiming the Black Past,Pero Dagbovie,Race,,https://www.versobooks.com/books/2827-reclaiming-the-black-past
Go Tell It on the Mountain,James Baldwin,Race,"Cross list on ""Faith""",https://www.penguin.co.uk/books/57327/go-tell-it-on-the-mountain-by-james-baldwin-introduction-by-andrew-ohagan/9780141185910
Notes of a Native Son,James Baldwin,Race,Crosses almost every category,https://www.penguin.co.uk/books/307860/notes-of-a-native-son-by-baldwin-james/9780241334003
The Wages of Whiteness,David Roediger,Race,,https://www.versobooks.com/books/255-the-wages-of-whiteness
The Invention of the White Race,Theodore Allen,Race,,https://www.versobooks.com/books/3908-the-invention-of-the-white-race
Hillbilly Elegy,J. D. Vance,Race,,https://www.harpercollins.com/products/hillbilly-elegy-j-d-vance?variant=32207704391714
The Fire Next Time,James Baldwin,Race,,https://www.penguin.co.uk/books/16909/the-fire-next-time-by-james-baldwin/9780140182750
God Help the Child,Toni Morrison,Race,,https://www.penguin.co.uk/books/409738/god-help-the-child-by-toni-morrison/9780099555926
Black American Short Stories,John Henrik Clarke ,Race,,https://us.macmillan.com/books/9780374523541/blackamericanshortstories
Between the World and Me,Ta-Nehisi Coates,Race,,
Society Must Be Defended,Michel Foucault,Race,,
"Violence, Rhetoric, and American Identity",Ersula Ore,Race,,
African American Women Speak Out on Anita Hill - Clarence Thomas,Geneva Smitherman,Race,,
The New Jim Crow,Michelle Alexander,Race,,https://www.amazon.com/New-Jim-Crow-Incarceration-Colorblindness/dp/1595586431
Palestine and the Arab-Israeli Conflict,Charles Smith,Race,,https://www.amazon.com/Palestine-Arab-Israeli-Conflict-History-Documents-dp-1319115748/dp/1319115748/
Breaking the Promise of Brown,Stephen Breyer,Race,,https://www.amazon.com/Against-Segregation-Americas-Schools-Stephen/dp/0815731663
The Color Line: Legacy for the Twenty-First Century ,John Hope Franklin,Race,,
Policing Black Bodies,Angela Hattery,Race,,
Unhooking from Whiteness,Cleveland Hayes,Race,,
The Myth of Post-Racial America,H. Roy Kaplan,Race,,
A Black Gaze: Artists Changing How We See,Tina M. Campt,Race,Arts and Race,https://mitpress.mit.edu/9780262546058/a-black-gaze/
African American Studies: The Discipline and Its Dimensions (Black Studies and Critical Thinking),Nathaniel Norment Jr. ,Race,Inspired by the African American Syllabus from University of Florida (UF's African American syllabus) ,https://www.amazon.com/African-American-Studies-Discipline-Dimensions/dp/1433161303
The Autobiography of Malcolm X: As Told to Alex Haley,"Malcolm X, Alex Haley, Attallah Shabazz",Race,,https://www.amazon.com/Autobiography-Malcolm-Told-Alex-Haley/dp/0345376714/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=
